Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Quarter,Week,DayOfWeek,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Sales_Lag_1,Sales_Lag_4,Rolling_Mean_4,Rolling_Mean_12,Rolling_STD_4
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,2,17,4,False,True,False,False,1391256.12,1594968.28,1499425.3025,1514694.9408333332,89550.29826614384
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,2,18,4,False,True,False,False,1425100.71,1545418.53,1456958.41,1496479.0916666668,66432.18202288529
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,2,19,4,False,True,False,False,1603955.12,1466058.28,1471592.5575,1493312.2316666667,93391.49007121939
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,2,20,4,False,True,False,False,1494251.5,1391256.12,1478640.8625,1483502.5091666665,93897.10021693469
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,2,21,4,False,True,False,False,1399662.07,1425100.71,1480742.35,1482663.7158333333,91348.94221530126
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,2,22,4,False,False,True,False,1432069.95,1603955.12,1482484.6600000001,1472435.655,89990.28757758501
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,2,23,4,False,False,True,False,1615524.71,1494251.5,1485377.0575,1487100.915,95229.32666829095
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,2,24,4,False,False,True,False,1542561.09,1399662.07,1497454.455,1492938.0233333334,99688.97915495554
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,2,25,4,False,False,True,False,1503284.06,1432069.95,1523359.9525,1501175.8683333334,76594.02113840077
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,3,26,4,False,False,True,False,1422711.6,1615524.71,1521020.365,1486821.1450000003,80362.22961956475
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,3,27,4,False,False,True,False,1492418.14,1542561.09,1490243.7225,1482404.4458333335,49908.15900252272
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,3,28,4,False,False,True,False,1546074.18,1503284.06,1491121.9949999999,1489072.4375,51151.15051575243
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,3,29,4,False,False,True,False,1448938.92,1422711.6,1477535.71,1493879.3375000001,53982.92331296985
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,3,30,4,False,False,True,False,1385065.2,1492418.14,1468124.1099999999,1490543.045,68149.99963895802
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,3,31,4,False,False,True,False,1371986.6,1546074.18,1438016.225,1471212.335,79497.4828344398
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,3,32,4,False,False,True,False,1605491.78,1448938.92,1452870.625,1480482.3583333334,107157.94638036602
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,3,33,4,False,False,True,False,1508237.76,1385065.2,1467695.335,1489530.3325000003,110482.9544091712
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,3,34,4,False,False,True,False,1513080.49,1371986.6,1499699.1575,1496281.2108333334,96184.79455497244
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,3,35,4,True,False,False,False,1449142.92,1605491.78,1518988.2374999998,1482416.0616666668,64579.938806430226
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,3,36,4,True,False,False,False,1540163.53,1508237.76,1502656.175,1482216.265,38341.842131551464
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,3,37,4,True,False,False,False,1507460.69,1513080.49,1502461.9074999997,1482564.3175,38306.08693123161
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,3,38,4,True,False,False,False,1430378.67,1449142.92,1481786.4525000001,1483203.24,50909.75664281918
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,4,39,4,True,False,False,False,1351791.03,1540163.53,1457448.48,1471484.3141666667,84141.29386439837
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,4,40,4,True,False,False,False,1453329.5,1507460.69,1435739.9725,1463755.5908333333,64625.64327920404
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,4,41,4,True,False,False,False,1508239.93,1430378.67,1435934.7824999997,1468697.3416666668,64914.43604929847
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,4,42,4,True,False,False,False,1459409.1,1351791.03,1443192.39,1474892.6666666667,65704.22044353343
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,4,43,4,True,False,False,False,1345454.0,1453329.5,1441608.1325,1472681.6166666665,68652.94005579711
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,4,44,4,True,False,False,False,1384209.22,1508239.93,1424328.0625,1454241.4033333333,73263.26946523674
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,4,45,4,True,False,False,False,1551659.28,1459409.1,1435182.9,1457859.8633333333,90927.16391393862
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,4,46,4,True,False,False,False,1494479.49,1345454.0,1443950.4975,1456309.78,95611.96084137318
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,4,47,4,True,False,False,False,1483784.18,1384209.22,1478533.0425,1459196.5516666668,69585.18456978216
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,4,48,4,False,False,False,True,1955624.11,1551659.28,1621386.765,1493818.2666666666,224808.4019809472
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,4,49,4,False,False,False,True,1548033.78,1494479.49,1620480.39,1497199.3575,225190.21958121238
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,4,50,4,False,False,False,True,1682614.26,1483784.18,1667514.0825,1518218.99,209179.04855628058
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,4,51,4,False,False,False,True,1891034.93,1955624.11,1769326.77,1563155.9816666665,187979.80557788638
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,4,52,4,False,False,False,True,2387950.2,1548033.78,1877408.2925,1641041.0399999998,368452.17199591256
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,1,4,False,False,False,True,1367320.01,1682614.26,1832229.85,1629297.7133333331,428489.2565505779
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,1,2,4,False,False,False,True,1444732.28,1891034.93,1772759.355,1628074.6450000003,470613.6815621626
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,1,3,4,False,False,False,True,1391013.96,2387950.2,1647754.1125000003,1631871.3083333336,494525.666395813
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,1,4,4,False,False,False,True,1327405.42,1367320.01,1382617.9175,1627137.6583333332,49027.656863276796
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,1,5,4,False,False,False,True,1316899.31,1444732.28,1370012.7425,1607574.3275,59611.18760559322
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,1,6,4,False,False,False,True,1606629.58,1391013.96,1410487.0675,1616920.1683333332,134799.00547446244
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,1,7,4,False,False,False,True,1649614.93,1327405.42,1475137.31,1630739.3975,177573.11444171303
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,1,8,4,False,False,False,True,1686842.78,1316899.31,1564996.65,1608340.9533333334,168614.2774516193
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,1,9,4,False,True,False,False,1456800.28,1606629.58,1599971.8924999998,1600738.1616666664,100918.14784923608
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,1,10,4,False,True,False,False,1636263.41,1649614.93,1607380.35,1596875.5908333333,102642.7886173674
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,1,11,4,False,True,False,False,1553191.63,1686842.78,1583274.525,1568721.9825,100722.259369
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,1,12,4,False,True,False,False,1576818.06,1456800.28,1555768.3450000002,1501127.6375,74663.38536161272
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,2,13,4,False,True,False,False,1541102.38,1636263.41,1576843.87,1515609.5016666667,42298.79810902612
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,2,14,4,False,True,False,False,1495064.75,1553191.63,1541544.205,1519803.8741666665,34353.27399302004
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,2,15,4,False,True,False,False,1614259.35,1576818.06,1556811.135,1538407.656666667,50859.137162884435
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,2,16,4,False,True,False,False,1559889.0,1541102.38,1552578.87,1557781.2883333333,49320.392792910694
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,2,17,4,False,True,False,False,1564819.81,1495064.75,1558508.2275,1578441.33,48904.68656360464
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,2,18,4,False,True,False,False,1455090.69,1614259.35,1548514.7125,1565813.0891666666,66946.83452985478
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,2,19,4,False,True,False,False,1629391.28,1559889.0,1552297.695,1564127.785,72127.32710260303
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,2,20,4,False,True,False,False,1604775.58,1564819.81,1563519.34,1557288.8516666666,77027.38296939983
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,2,21,4,False,True,False,False,1428218.27,1455090.69,1529368.955,1554907.0175,102370.80690586701
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,2,22,4,False,False,True,False,1466046.67,1629391.28,1532107.95,1540722.2891666668,99836.18093564716
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,2,23,4,False,False,True,False,1635078.41,1604775.58,1533529.7325,1547546.1875,101706.39531884459
